Method;Recall (\%) $\uparrow$;FAR (\%) $\downarrow$;Accuracy (\%) $\uparrow$;Precision (\%) $\uparrow$;F1 Score $\uparrow$;FPS $\uparrow$
Baseline (notemp);56.59;5.96;85.14;74.73;0.6441;\underline{\textcolor{black}{91.66}}
$\text{TPT}_\text{strict} (W = 5,\ \tau_\text{persist} = 0.2)$;\underline{\textcolor{black}{94.38}};\textbf{\textcolor{black}{0.14}};\underline{\textcolor{black}{98.56}};\textbf{\textcolor{black}{99.54}};\underline{\textcolor{black}{0.9689}};33.16
$\text{TPT}_\text{strict} (W = 5,\ \tau_\text{persist} = 0.2)$;\textbf{\textcolor{black}{95.62}};\underline{\textcolor{black}{0.25}};\textbf{\textcolor{black}{98.77}};\underline{\textcolor{black}{99.17}};\textbf{\textcolor{black}{0.9736}};25.08
Big Model with Skip module;68.58;10.39;84.61;67.29;0.6793;\textbf{\textcolor{black}{109.94}}
