Method;Recall (\%) $\uparrow$;FAR (\%) $\downarrow$;Accuracy (\%) $\uparrow$;F1 Score $\uparrow$;Precision (\%) $\uparrow$;Skip Rate (\%) $\uparrow$;FPS $\uparrow$
Baseline (notemp);\textbf{\textcolor{black}{95.616}};0.251;\textbf{\textcolor{black}{98.767}};\textbf{\textcolor{black}{0.974}};99.166;0.00;24.97
$\text{TPT}_\text{strict} \newline (W = 5,\ \tau_\text{persist} = 0.2)$;95.519;0.250;98.745;\underline{\textcolor{black}{0.973}};99.168;0.00;24.96
$\text{TPT}_\text{balanced} \newline (W = 10,\ \tau_\text{persist} = 0.5)$;95.123;\underline{\textcolor{black}{0.247}};98.653;0.971;\underline{\textcolor{black}{99.174}};0.00;24.96
Big Model with Skip module (AccMotionDet);94.384;\textbf{\textcolor{black}{0.136}};98.562;0.969;\textbf{\textcolor{black}{99.541}};\textbf{\textcolor{black}{34.93}};\underline{\textcolor{black}{32.32}}
Big Model with Skip module \newline (AccMotionDet + Eager $N_{\text{chk}}=50, W_{\text{clr}}=7, W_{\text{fire}}=1$);\underline{\textcolor{black}{95.565}};0.251;\underline{\textcolor{black}{98.755}};\underline{\textcolor{black}{0.973}};99.166;\underline{\textcolor{black}{34.31}};\textbf{\textcolor{black}{32.54}}
