Experiment;Window Size $W$;Persist Threshold $\tau_\text{persist}$;Recall (\%) $\uparrow$;FAR (\%) $\downarrow$;Accuracy (\%) $\uparrow$;Precision (\%) $\uparrow$;F1 Score $\uparrow$;FPS $\uparrow$
Big Model without Skip Module (Baseline);-;-;\textbf{\textcolor{black}{94.35}} (-0.00);0.7403;\textbf{\textcolor{black}{98.26}};\underline{\textcolor{black}{97.02}};\textbf{\textcolor{black}{0.9566}};\textbf{\textcolor{black}{24.6617}}
$\text{TPT}_\text{strict}$ \newline (Conservative: safety-first);5.0;0.2;\underline{\textcolor{black}{94.22}} (-0.13);\underline{\textcolor{black}{0.7385}} (-0.0017);\underline{\textcolor{black}{98.24}};\underline{\textcolor{black}{97.02}};\underline{\textcolor{black}{0.956}};\underline{\textcolor{black}{24.6546}}
$\text{TPT}_\text{balanced}$ \newline (Balanced between Recall Drop and FAR decrease gain);10.0;0.5;93.7 (-0.65);\textbf{\textcolor{black}{0.7315}} (-0.0087);98.13;\textbf{\textcolor{black}{97.03}};0.9534;24.6544
