;DFire;;;;;;DFireStatic;;;;;;FireNet;;;;;;pexels;;;;;
Metric;metric_accuracy;metric_f1_score;metric_fpr;metric_fps;metric_precision;metric_recall (tpr);metric_accuracy;metric_f1_score;metric_fpr;metric_fps;metric_precision;metric_recall (tpr);metric_accuracy;metric_f1_score;metric_fpr;metric_fps;metric_precision;metric_recall (tpr);metric_accuracy;metric_f1_score;metric_fpr;metric_fps;metric_precision;metric_recall (tpr)
no_temp;0.7285714149475098;0.7397260069847107;0.3142857253551483;57.46342849731445;0.7105262875556946;0.7714285850524902;0.800000011920929;0.84375;0.1333333402872085;53.4329948425293;0.931034505367279;0.7714285850524902;0.9516128897666932;0.9684210419654846;0.1875;53.64542007446289;0.9387755393981934;1.0;0.9896907210350036;0.99481862783432;0.0;37.64044570922852;1.0;0.9896907210350036
temp_stabilize;0.7285714149475098;0.7397260069847107;0.3142857253551483;32.16748046875;0.7105262875556946;0.7714285850524902;0.800000011920929;0.84375;0.1333333402872085;28.60991096496582;0.931034505367279;0.7714285850524902;0.9516128897666932;0.9684210419654846;0.1875;31.3940372467041;0.9387755393981934;1.0;0.9896907210350036;0.99481862783432;0.0;13.758538246154783;1.0;0.9896907210350036
temp_tpt;0.7714285850524902;0.7647058963775635;0.2000000029802322;57.46342849731445;0.7878788113594055;0.7428571581840515;0.7799999713897705;0.8253968358039856;0.1333333402872085;53.4329948425293;0.9285714030265808;0.7428571581840515;0.9516128897666932;0.9677419066429138;0.125;53.64542007446289;0.957446813583374;0.97826087474823;0.9896907210350036;0.99481862783432;0.0;37.64044570922852;1.0;0.9896907210350036
