order;Method;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr)
1;Baseline (notemp);0.987672687;0.973587275;0.002505816;25.082323;0.991661489;0.956160128
2;$\text{TPT}_\text{strict} (W = 5,\ \tau_\text{persist} = 0.2)$;0.987448275;0.973092854;0.002498636;24.96015167;0.991676807;0.955192566
3;$\text{TPT}_\text{strict} (W = 10,\ \tau_\text{persist} = 0.5)$;0.986528635;0.971061707;0.002469916;24.96014023;0.991737723;0.951230168
4;Big Model with Skip module;0.985619962;0.968935847;0.001357018;33.15996933;0.995408058;0.943835258
