experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;recall_retention;far_reduction_norm;w_S;w_F;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.min_roi_ratio
MainPC__ds_UFireIndoor2__mt_no_temp_method__af4b0d32a3d2__20260316.172122_per_frame;-1.0;0.9833333492279052;0.4152777791023254;0.0;1.0;0.0;;;;;0.823888897895813;0.8701351881027222;22.15893173217773;0.7803086042404175;;;;;;;;;;;
MainPC__ds_UFireIndoor2__mt_temp_method_motion_block__be8f0906f34c__20260325.181303_per_frame;0.33453498729578196;0.975000023841858;0.186111107468605;0.318056;0.16666746139528588;0.551839475083624;0.6;0.2;0.2;0.01;0.9105555415153505;0.9289810061454772;24.13631820678711;0.8871103525161743;motion_only_block_skip_proc.MotionOnlyBlockSkipProc;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.5;32.0;0.05;0.75
MainPC__ds_UFireIndoor2__mt_temp_method_motion_block__db7ab155d4e9__20260325.181303_per_frame;0.24942296257769203;0.975000023841858;0.2555555701255798;0.231944;0.16666746139528588;0.38461535149317416;0.6;0.2;0.2;0.01;0.882777750492096;0.9089339375495912;23.00042533874512;0.8512530326843262;motion_only_block_skip_proc.MotionOnlyBlockSkipProc;acc_motion_det.AccMotionDet;2.0;5.0;10.0;25.0;1.0;0.5;32.0;0.05;0.75
