experiment;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr);skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_rate
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__714f920b98ea__20260331.203242_per_frame;0.9810413122177124;0.9525636434555054;0.0073503674939274;30.27900505065918;0.9701598286628724;0.935594379901886;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.33536900000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__72005fb7c84a__20260331.203241_per_frame;0.981780171394348;0.9544995427131652;0.0073678684420883;35.81389236450195;0.9702052474021912;0.9392942786216736;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.42376600000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__74a2ee2312b2__20260331.203243_per_frame;0.9819613695144652;0.954972505569458;0.0073678684420883;27.11159896850586;0.9702326059341432;0.940185010433197;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0;0.234372
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__7da5b7c7571d__20260331.203242_per_frame;0.9820868372917176;0.95529967546463;0.0073678684420883;22.918119430541992;0.9702515602111816;0.9408016204833984;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0;0.04147700000000001
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__7f7f2629e958__20260331.203242_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;21.97980499267578;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.00385
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__81b4bcec1fed__20260331.203244_per_frame;0.98204505443573;0.955190658569336;0.0073678684420883;30.54496383666992;0.9702452421188354;0.9405961036682128;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.320109
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__81fc984c96fd__20260331.203239_per_frame;0.9816965460777284;0.9542779326438904;0.0073503674939274;34.00828170776367;0.9702591896057128;0.938814640045166;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.39480200000000004
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__87564d7aab33__20260331.203242_per_frame;0.9820868372917176;0.95529967546463;0.0073678684420883;22.854942321777344;0.9702515602111816;0.9408016204833984;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.039009
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__87629e1c52c9__20260331.203240_per_frame;0.9817662239074708;0.9544631838798524;0.0073678684420883;36.02359771728516;0.9702031016349792;0.939225733280182;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0;0.42892899999999995
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__8ca5e96c2c04__20260331.203244_per_frame;0.9794521331787108;0.9483821392059326;0.0073503674939274;34.23918914794922;0.9699162244796752;0.9277834892272948;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.422366
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__8d7378795742__20260331.203241_per_frame;0.9773193001747132;0.9427173137664796;0.0073503674939274;43.32609558105469;0.9695828557014464;0.9173004627227784;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.577144
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__8d7d8d05ec47__20260331.203242_per_frame;0.9820868372917176;0.95529967546463;0.0073678684420883;23.08758544921875;0.9702515602111816;0.9408016204833984;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.0493
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__9b35685ea8bb__20260331.203244_per_frame;0.9818777441978456;0.9547542929649352;0.0073678684420883;31.904705047607425;0.9702199697494508;0.9397739171981812;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.365751
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__aa6cf68ccce3__20260331.203243_per_frame;0.9817383289337158;0.9543871879577636;0.0073503674939274;28.486825942993164;0.9702655076980592;0.9390202164649964;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.276339
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__aaeb0452ad7c__20260331.203244_per_frame;0.98204505443573;0.955190658569336;0.0073678684420883;31.155733108520508;0.9702452421188354;0.9405961036682128;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0;0.34006000000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__ac81fe0bbf17__20260331.203240_per_frame;0.9819056391716005;0.9548270106315612;0.0073678684420883;33.0780143737793;0.9702242016792296;0.9399109482765198;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.374011
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__acf03b7e73fa__20260331.203243_per_frame;0.98207288980484;0.9552633166313172;0.0073678684420883;26.03085708618164;0.9702494740486144;0.9407331347465516;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0;0.157193
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b28eb1293e74__20260331.203240_per_frame;0.9815571308135986;0.953913688659668;0.0073503674939274;36.06563186645508;0.9702380895614624;0.9381294846534728;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.426304
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b4830d50fd99__20260331.203239_per_frame;0.9805534482002258;0.9512833952903748;0.0073503674939274;34.9432487487793;0.9700854420661926;0.9331963062286376;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.41512099999999996
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b913865a01f5__20260331.203239_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;23.25460624694824;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.018323
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b99ef3a7f0ca__20260331.203243_per_frame;0.98207288980484;0.9552633166313172;0.0073678684420883;25.879619598388672;0.9702494740486144;0.9407331347465516;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.15309799999999998
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bb116e2ccac2__20260331.203242_per_frame;0.981780171394348;0.9544963836669922;0.0073503674939274;25.80978012084961;0.9702718257904052;0.939225733280182;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.176006
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bb43aed254b5__20260331.203243_per_frame;0.980079472064972;0.9500367045402528;0.0073503674939274;32.89815902709961;0.9700128436088562;0.9308667182922364;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.41025599999999995
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bb4627f14fe2__20260331.203244_per_frame;0.9761065244674684;0.9394688606262208;0.0073503674939274;36.82852935791016;0.9693899750709534;0.911339521408081;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.480294
