experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;FAR_drop;w_FAR;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;window_size;persist_thres
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__839d220056e1__20260413.184936_per_frame;-0.116581631;0.922644734;0.007122856;0;0.020829082;-0.388605436;;0.7;0.3;0.015;0.978587866;0.946044683;24.0549984;0.970662415;25;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__b03c9736d50d__20260413.184936_per_frame;-0.142618132;0.921342909;0.007105355;0;0.022130907;-0.475393772;;0.7;0.3;0.015;0.97833693;0.945374012;24.05493927;0.970692277;25;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9f87ab48e06f__20260413.184935_per_frame;-0.142618132;0.921342909;0.007105355;0;0.022130907;-0.475393772;;0.7;0.3;0.015;0.97833693;0.945374012;24.05488968;0.970692277;20;0.85
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__3334f766235b__20260413.184935_per_frame;-0.168654633;0.920041084;0.007087854;0;0.023432732;-0.562182109;;0.7;0.3;0.015;0.978085995;0.944702387;24.05471802;0.970722198;20;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__d32bfd09cf5c__20260413.184937_per_frame;-0.168654633;0.920041084;0.007087854;0;0.023432732;-0.562182109;;0.7;0.3;0.015;0.978085995;0.944702387;24.05474472;0.970722198;25;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__36ed2700d674__20260413.184938_per_frame;-0.168654633;0.920041084;0.007087854;0;0.023432732;-0.562182109;;0.7;0.3;0.015;0.978085995;0.944702387;24.0548954;0.970722198;30;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__f9c8a42e002f__20260413.184935_per_frame;-0.194689941;0.918739319;0.007070354;0;0.024734497;-0.648966471;;0.7;0.3;0.015;0.977835059;0.944029868;24.05482483;0.97075218;20;0.95
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__d7a729e8cd3e__20260413.184938_per_frame;-0.194689941;0.918739319;0.007070354;0;0.024734497;-0.648966471;;0.7;0.3;0.015;0.977835059;0.944029868;24.05485535;0.97075218;30;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__53585dd37110__20260413.184937_per_frame;-0.220726442;0.917437494;0.007052853;0;0.026036322;-0.735754808;;0.7;0.3;0.015;0.977584183;0.943356335;24.05478096;0.97078228;25;0.8
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__4b0f13c03ebb__20260413.184937_per_frame;-0.246762943;0.916135669;0.007035352;0;0.027338147;-0.822543144;;0.7;0.3;0.015;0.977333248;0.942681909;24.05479813;0.97081244;25;0.85
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9fdd94957ccb__20260413.184938_per_frame;-0.246762943;0.916135669;0.007035352;0;0.027338147;-0.822543144;;0.7;0.3;0.015;0.977333248;0.942681909;24.05478477;0.97081244;30;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__13d0b502603c__20260413.184938_per_frame;-0.272799444;0.914833844;0.007017851;0;0.028639972;-0.909331481;;0.7;0.3;0.015;0.977082312;0.942006469;24.05481339;0.970842719;30;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__d87ccb2fd48a__20260413.184937_per_frame;-0.272799444;0.914833844;0.007017851;0;0.028639972;-0.909331481;;0.7;0.3;0.015;0.977082312;0.942006469;24.05467033;0.970842719;25;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__821e71184ed0__20260413.184937_per_frame;-0.298835945;0.913532019;0.00700035;0;0.029941797;-0.996119817;;0.7;0.3;0.015;0.976831377;0.941330135;24.05458641;0.970873058;25;0.95
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__8043088dcfb3__20260413.184938_per_frame;-0.324872446;0.912230194;0.006982849;0;0.031243622;-1.082908154;;0.7;0.3;0.015;0.976580441;0.940652847;24.05457115;0.970903516;30;0.8
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9b54ee206192__20260413.184938_per_frame;-0.350907755;0.910928428;0.006965348;0;0.032545388;-1.169692516;;0.7;0.3;0.015;0.976329565;0.939974546;24.05469704;0.970934033;30;0.85
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fb12ad92d7e4__20260413.184938_per_frame;-0.402980757;0.908324778;0.006965348;0;0.035149038;-1.343269189;;0.7;0.3;0.015;0.975799799;0.938548684;24.05442619;0.97085315;30;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__8012b6e7459f__20260413.184938_per_frame;-0.429017258;0.907022953;0.006965348;0;0.036450863;-1.430057526;;0.7;0.3;0.015;0.975534976;0.937834322;24.0545311;0.970812559;30;0.95
