experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;FAR_drop;w_FAR;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;window_size;persist_thres
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__1a793e6351e0__20260413.184931_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05565643;0.970253646;5;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__1b964b9331ef__20260413.184936_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05545616;0.970253646;25;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9371f185fac7__20260413.184931_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05561447;0.970282316;5;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c460a4d90a40__20260413.184932_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05569649;0.970282316;10;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__66f685e854e9__20260413.184931_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.0556221;0.970282316;5;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__e62a0160ce01__20260413.184933_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05559349;0.970282316;15;0.2
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__0506ccad6731__20260413.184937_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05556488;0.970282316;30;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__be432faed880__20260413.184931_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05573082;0.970282316;5;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__58fdcb4212a9__20260413.184933_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.0556736;0.970282316;15;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__b3e6495e4ebe__20260413.184931_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05574036;0.970282316;5;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__5121fc2b0da9__20260413.184936_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05553436;0.970282316;25;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__ba4a0a89001e__20260413.184934_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05551147;0.970282316;20;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__84572f01dfad__20260413.184932_per_frame;0.221890497;0.939568341;0.007350367;0;0.003905475;0.739634991;;0.7;0.3;0.015;0.981849849;0.954678357;24.05568886;0.970282316;10;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__5649737961f3__20260413.184937_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05556679;0.970311046;30;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c1f841d29131__20260413.184932_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05555534;0.970311046;5;0.95
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__d4c1b9ca106e__20260413.184932_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05554962;0.970311046;10;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__21c311f8cc83__20260413.184935_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05543709;0.970311046;20;0.2
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__057ccbd49b30__20260413.184931_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05550575;0.970311046;5;0.85
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__0b315db8d1b9__20260413.184931_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05559731;0.970311046;5;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fad913306acb__20260413.184932_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.0555191;0.970311046;10;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__0eda07f558a4__20260413.184931_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05565834;0.970311046;5;0.8
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__bd87aa1320a7__20260413.184933_per_frame;0.195853996;0.938266516;0.007332867;0;0.0052073;0.652846654;;0.7;0.3;0.015;0.981598914;0.954019785;24.05559158;0.970311046;15;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__a973ef5c7a44__20260413.184936_per_frame;0.169817495;0.936964691;0.007315366;0;0.006509125;0.566058318;;0.7;0.3;0.015;0.981348038;0.953360319;24.05537224;0.970339894;25;0.2
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__18cdac08e956__20260413.184935_per_frame;0.169817495;0.936964691;0.007315366;0;0.006509125;0.566058318;;0.7;0.3;0.015;0.981348038;0.953360319;24.05539513;0.970339894;20;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__ee1f8fe0a963__20260413.184932_per_frame;0.169817495;0.936964691;0.007315366;0;0.006509125;0.566058318;;0.7;0.3;0.015;0.981348038;0.953360319;24.05550003;0.970339894;10;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__f8849e0b007f__20260413.184932_per_frame;0.169817495;0.936964691;0.007315366;0;0.006509125;0.566058318;;0.7;0.3;0.015;0.981348038;0.953360319;24.05554199;0.970339894;10;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__cfd54483eafd__20260413.184933_per_frame;0.169817495;0.936964691;0.007315366;0;0.006509125;0.566058318;;0.7;0.3;0.015;0.981348038;0.953360319;24.05556297;0.970339894;15;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__02f58a0522c2__20260413.184936_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05541992;0.970368803;25;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__da071ddfb074__20260413.184937_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05539894;0.970368803;30;0.2
